City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Son La,VN,65.55,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
274,Abu Kamal,SY,66.81,clear sky,34.4506,40.9171,محطة التلفاز
277,Kutum,SD,74.73,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
278,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
280,Flinders,AU,66.99,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
285,Odweyne,SO,78.64,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
286,Barkhan,PK,75.38,overcast clouds,29.8977,69.5256,Sardar
289,Horsham,GB,51.8,clear sky,51.06399999999999,-0.3272,Springfields Hotel
290,Labuan,MY,73.4,few clouds,5.2767,115.2417,Tiara Labuan Hotel
291,Shimoda,JP,62.01,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
293,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Valle Aridane
294,Akyab,MM,77.63,clear sky,20.15,92.9,Hotel Memory
295,Castro,BR,72.57,clear sky,-24.7911,-50.0119,CHACARA BAILLY
299,Birjand,IR,53.6,clear sky,32.8663,59.2211,Birjand Tourist Hotel
302,Colares,PT,64.99,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
304,Waingapu,ID,78.42,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
305,Along,IN,61.97,overcast clouds,28.1667,94.7667,Hotel West
306,Esperance,AU,62.6,few clouds,-33.8667,121.9,Hospitality Esperance
307,Miles City,US,66.2,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
308,Gola Gokarannath,IN,74.44,clear sky,28.0833,80.4667,Vikas Home
310,Guerrero Negro,MX,70.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Kununurra,AU,69.8,few clouds,-15.7667,128.7333,Hotel Kununurra
314,Chateauneuf-Les-Martigues,FR,61.0,clear sky,43.3833,5.1667,Hotel Restaurant L'Hacienda
315,Vila Franca Do Campo,PT,60.8,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
316,Mpulungu,ZM,73.02,broken clouds,-8.7623,31.1141,Nhkupi Lodge
320,Qidong,CN,51.01,clear sky,31.8128,121.6561,Hilton Garden Inn Qidong
322,Lagoa,PT,59.79,overcast clouds,39.05,-27.9833,Casa Das Faias
324,Samana,DO,75.2,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
325,Namatanai,PG,77.79,light rain,-3.6667,152.4333,Namatanai Hotel
326,Carmo Do Cajuru,BR,79.86,broken clouds,-20.1842,-44.7711,Hotel Jesus Leão
328,Yanam,IN,77.2,overcast clouds,16.7333,82.2167,The Regency Hotel
329,San Jose,US,62.01,broken clouds,37.3394,-121.895,The Westin San Jose
333,Hat Yai,TH,78.8,scattered clouds,7.0084,100.4767,New Season Hotel
334,Ginda,IN,56.46,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
335,Kupang,ID,77.92,heavy intensity rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
339,Shingu,JP,60.73,overcast clouds,33.7333,135.9833,Shingu UI Hotel
341,Dingle,PH,74.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Isangel,VU,75.88,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
346,Rosarito,MX,79.0,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
